,candidates,winner,time,left,right
144,"(74, 9)",74,12:58:28,74,9
145,"(15, 69)",69,12:58:32,15,69
146,"(87, 77)",77,12:58:49,87,77
147,"(83, 4)",4,12:58:53,83,4
148,"(57, 21)",21,12:59:01,57,21
149,"(48, 35)",48,12:59:21,48,35
150,"(88, 33)",88,12:59:23,88,33
151,"(53, 78)",53,12:59:28,53,78
152,"(40, 24)",24,12:59:32,40,24
153,"(85, 71)",71,13:00:02,85,71
154,"(2, 89)",2,13:00:05,2,89
155,"(68, 55)",55,13:00:09,68,55
156,"(7, 43)",7,13:00:20,7,43
157,"(76, 51)",51,13:00:24,76,51
158,"(84, 3)",3,13:00:29,84,3
159,"(18, 67)",18,13:00:34,18,67
160,"(65, 27)",27,13:00:39,65,27
161,"(31, 8)",8,13:00:59,31,8
162,"(64, 12)",64,13:01:18,64,12
163,"(80, 0)",80,13:01:25,80,0
164,"(37, 82)",82,13:01:27,37,82
165,"(47, 19)",47,13:01:30,47,19
166,"(16, 25)",16,13:01:32,16,25
167,"(61, 62)",62,13:01:38,61,62
168,"(70, 45)",70,13:01:44,70,45
169,"(66, 29)",29,13:02:02,66,29
170,"(81, 32)",81,13:02:04,81,32
171,"(72, 42)",42,13:02:07,72,42
172,"(91, 92)",92,13:02:11,91,92
173,"(6, 36)",36,13:02:21,6,36
174,"(30, 75)",75,13:02:24,30,75
175,"(44, 26)",26,13:02:36,44,26
176,"(73, 39)",39,13:02:38,73,39
177,"(13, 1)",13,13:02:42,13,1
178,"(22, 49)",22,13:02:48,22,49
179,"(20, 79)",20,13:02:56,20,79
180,"(58, 41)",58,13:03:02,58,41
181,"(10, 50)",50,13:03:06,10,50
182,"(11, 54)",11,13:03:09,11,54
183,"(23, 86)",23,13:03:22,23,86
184,"(60, 59)",60,13:03:26,60,59
185,"(93, 34)",93,13:03:30,93,34
186,"(5, 52)",5,13:03:36,5,52
187,"(63, 90)",90,13:03:39,63,90
188,"(85, 40)",85,13:03:50,85,40
189,"(49, 23)",49,13:03:53,49,23
190,"(4, 16)",4,13:03:59,4,16
191,"(34, 53)",53,13:04:02,34,53
192,"(69, 81)",69,13:04:06,69,81
193,"(50, 93)",50,13:04:20,50,93
194,"(24, 59)",24,13:04:28,24,59
195,"(92, 46)",92,13:04:40,92,46
196,"(2, 26)",26,13:04:43,2,26
197,"(5, 57)",5,13:04:47,5,57
198,"(75, 61)",75,13:04:52,75,61
199,"(10, 11)",10,13:04:57,10,11
200,"(42, 86)",42,13:04:59,42,86
201,"(39, 14)",14,13:05:11,39,14
202,"(33, 89)",89,13:05:14,33,89
203,"(76, 25)",76,13:05:19,76,25
204,"(82, 68)",82,13:05:20,82,68
205,"(73, 28)",28,13:05:21,73,28
206,"(55, 74)",74,13:05:44,55,74
207,"(80, 9)",80,13:05:55,80,9
208,"(31, 43)",31,13:06:00,31,43
209,"(0, 35)",0,13:06:03,0,35
210,"(60, 1)",60,13:06:04,60,1
211,"(27, 66)",66,13:06:08,27,66
212,"(67, 6)",6,13:06:21,67,6
213,"(63, 22)",22,13:06:25,63,22
214,"(21, 15)",21,13:06:30,21,15
215,"(7, 17)",7,13:06:34,7,17
216,"(20, 65)",20,13:06:36,20,65
217,"(36, 32)",36,13:06:44,36,32
218,"(71, 87)",71,13:06:52,71,87
219,"(88, 64)",64,13:06:56,88,64
220,"(44, 37)",44,13:07:16,44,37
221,"(54, 47)",54,13:07:24,54,47
222,"(12, 58)",12,13:07:30,12,58
223,"(8, 70)",8,13:07:32,8,70
224,"(52, 77)",77,13:07:35,52,77
225,"(13, 3)",13,13:07:42,13,3
226,"(41, 83)",41,13:07:54,41,83
227,"(56, 78)",56,13:08:11,56,78
228,"(90, 18)",90,13:08:16,90,18
229,"(29, 19)",19,13:08:20,29,19
230,"(48, 91)",48,13:08:23,48,91
231,"(30, 45)",45,13:08:35,30,45
232,"(38, 51)",38,13:08:40,38,51
233,"(79, 84)",79,13:09:11,79,84
234,"(72, 62)",62,13:09:13,72,62
235,"(15, 46)",46,13:09:19,15,46
236,"(8, 2)",8,13:09:20,8,2
237,"(86, 19)",19,13:09:22,86,19
238,"(79, 60)",60,13:09:42,79,60
239,"(61, 63)",63,13:09:44,61,63
240,"(57, 18)",18,13:09:47,57,18
241,"(55, 80)",55,13:09:50,55,80
242,"(68, 22)",22,13:09:51,68,22
243,"(72, 23)",23,13:09:54,72,23
244,"(27, 64)",64,13:09:58,27,64
245,"(84, 85)",85,13:10:00,84,85
246,"(41, 45)",41,13:10:06,41,45
247,"(14, 20)",14,13:10:11,14,20
248,"(43, 4)",4,13:10:13,43,4
249,"(56, 7)",56,13:10:23,56,7
250,"(29, 44)",44,13:10:27,29,44
251,"(93, 51)",93,13:10:28,93,51
252,"(1, 71)",71,13:10:30,1,71
253,"(12, 28)",28,13:10:51,12,28
254,"(62, 88)",62,13:10:53,62,88
255,"(33, 77)",77,13:10:57,33,77
256,"(66, 39)",39,13:11:00,66,39
257,"(26, 52)",26,13:11:10,26,52
258,"(24, 9)",24,13:11:18,24,9
259,"(11, 75)",75,13:11:21,11,75
260,"(83, 76)",83,13:11:30,83,76
261,"(70, 10)",10,13:11:39,70,10
262,"(58, 92)",58,13:11:42,58,92
263,"(21, 48)",21,13:11:48,21,48
264,"(91, 59)",91,13:12:00,91,59
265,"(30, 54)",54,13:12:30,30,54
