,candidates,winner,time,left,right
0,"(57, 51)",57,12:18:56,57,51
1,"(45, 69)",45,12:20:04,45,69
2,"(29, 93)",93,12:20:43,29,93
3,"(1, 67)",1,12:21:48,1,67
4,"(20, 27)",27,12:22:10,20,27
5,"(42, 8)",8,12:22:44,42,8
6,"(86, 89)",86,12:23:33,86,89
7,"(83, 48)",48,12:24:05,83,48
8,"(63, 3)",63,12:24:47,63,3
9,"(62, 11)",62,12:25:17,62,11
10,"(31, 44)",31,12:26:37,31,44
11,"(37, 90)",90,12:26:55,37,90
12,"(68, 18)",18,12:27:21,68,18
13,"(71, 7)",7,12:27:56,71,7
14,"(91, 49)",91,12:28:29,91,49
15,"(32, 70)",32,12:29:01,32,70
16,"(50, 25)",25,12:30:08,50,25
17,"(34, 28)",28,12:30:54,34,28
18,"(54, 61)",54,12:31:31,54,61
19,"(13, 47)",47,12:32:02,13,47
20,"(78, 9)",78,12:32:29,78,9
21,"(92, 87)",92,12:32:50,92,87
22,"(19, 53)",53,12:33:48,19,53
23,"(33, 77)",33,12:34:09,33,77
24,"(6, 12)",12,12:34:27,6,12
25,"(84, 80)",80,12:34:43,84,80
26,"(38, 36)",36,12:35:17,38,36
27,"(16, 75)",16,12:35:42,16,75
28,"(85, 26)",26,12:36:10,85,26
29,"(82, 22)",82,12:36:54,82,22
30,"(72, 56)",56,12:37:28,72,56
31,"(79, 0)",79,12:37:55,79,0
32,"(15, 73)",15,12:38:21,15,73
33,"(66, 65)",65,12:38:42,66,65
34,"(64, 58)",64,12:39:11,64,58
35,"(52, 21)",21,12:39:27,52,21
36,"(40, 55)",40,12:39:56,40,55
37,"(23, 17)",23,12:40:07,23,17
38,"(24, 46)",46,12:40:37,24,46
39,"(10, 88)",10,12:40:55,10,88
40,"(43, 39)",39,12:41:10,43,39
41,"(74, 81)",74,12:41:35,74,81
42,"(41, 14)",14,12:42:21,41,14
43,"(2, 59)",2,12:42:35,2,59
44,"(35, 4)",4,12:42:58,35,4
45,"(30, 5)",5,12:43:21,30,5
46,"(76, 60)",60,12:43:41,76,60
47,"(32, 93)",32,12:44:22,32,93
48,"(68, 21)",21,12:44:46,68,21
49,"(87, 45)",87,12:45:13,87,45
50,"(89, 31)",31,12:45:24,89,31
51,"(72, 74)",74,12:45:36,72,74
52,"(91, 34)",91,12:45:53,91,34
53,"(29, 35)",29,12:46:08,29,35
54,"(86, 53)",53,12:46:20,86,53
55,"(22, 75)",22,12:47:02,22,75
56,"(1, 58)",1,12:47:25,1,58
57,"(20, 49)",49,12:47:55,20,49
58,"(43, 33)",33,12:48:07,43,33
59,"(41, 92)",92,12:48:24,41,92
60,"(70, 16)",16,12:48:34,70,16
61,"(37, 6)",37,12:48:45,37,6
62,"(82, 11)",82,12:49:06,82,11
63,"(36, 46)",36,12:49:24,36,46
64,"(26, 47)",26,12:49:54,26,47
65,"(23, 30)",23,12:50:06,23,30
66,"(76, 7)",7,12:50:18,76,7
67,"(8, 51)",8,12:50:30,8,51
68,"(71, 62)",71,12:50:57,71,62
69,"(67, 24)",67,12:51:19,67,24
70,"(50, 79)",79,12:51:38,50,79
71,"(80, 5)",5,12:51:56,80,5
72,"(10, 27)",10,12:52:15,10,27
73,"(4, 78)",4,12:52:25,4,78
74,"(83, 12)",12,12:52:45,83,12
75,"(38, 60)",60,12:52:55,38,60
76,"(40, 77)",40,12:53:11,40,77
77,"(0, 17)",0,12:53:13,0,17
78,"(9, 54)",54,12:53:21,9,54
