,candidates,winner,time,left,right
0,"(57, 51)",57,14:36:40,57,51
1,"(45, 69)",45,14:36:40,45,69
2,"(29, 93)",29,14:36:40,29,93
3,"(1, 67)",1,14:36:40,1,67
4,"(20, 27)",20,14:36:40,20,27
5,"(42, 8)",42,14:36:41,42,8
6,"(86, 89)",86,14:36:41,86,89
7,"(83, 48)",83,14:36:41,83,48
8,"(63, 3)",63,14:36:41,63,3
9,"(62, 11)",62,14:36:42,62,11
10,"(31, 44)",31,14:36:42,31,44
11,"(37, 90)",37,14:36:42,37,90
12,"(68, 18)",68,14:36:42,68,18
13,"(71, 7)",71,14:36:42,71,7
14,"(91, 49)",91,14:36:43,91,49
15,"(32, 70)",32,14:36:43,32,70
16,"(50, 25)",50,14:36:44,50,25
17,"(34, 28)",34,14:36:44,34,28
18,"(54, 61)",54,14:36:44,54,61
19,"(13, 47)",13,14:36:44,13,47
20,"(78, 9)",78,14:36:44,78,9
21,"(92, 87)",92,14:36:45,92,87
22,"(19, 53)",19,14:36:45,19,53
23,"(33, 77)",33,14:36:45,33,77
24,"(6, 12)",6,14:36:45,6,12
25,"(84, 80)",84,14:36:46,84,80
26,"(38, 36)",38,14:36:46,38,36
27,"(16, 75)",16,14:36:46,16,75
28,"(85, 26)",85,14:36:46,85,26
29,"(82, 22)",82,14:36:47,82,22
30,"(72, 56)",72,14:36:47,72,56
31,"(79, 0)",79,14:36:47,79,0
32,"(15, 73)",15,14:36:48,15,73
33,"(66, 65)",66,14:36:48,66,65
34,"(64, 58)",64,14:36:49,64,58
35,"(52, 21)",52,14:36:49,52,21
36,"(40, 55)",40,14:36:49,40,55
37,"(23, 17)",23,14:36:50,23,17
38,"(24, 46)",24,14:36:50,24,46
39,"(10, 88)",10,14:36:50,10,88
40,"(43, 39)",43,14:36:50,43,39
41,"(74, 81)",74,14:36:50,74,81
42,"(41, 14)",41,14:36:51,41,14
43,"(2, 59)",2,14:36:51,2,59
44,"(35, 4)",35,14:36:51,35,4
45,"(30, 5)",30,14:36:51,30,5
46,"(76, 60)",76,14:36:52,76,60
47,"(32, 93)",32,14:36:52,32,93
48,"(68, 21)",68,14:36:52,68,21
49,"(87, 45)",87,14:36:52,87,45
50,"(89, 31)",89,14:36:52,89,31
51,"(72, 74)",72,14:36:52,72,74
52,"(91, 34)",91,14:36:52,91,34
53,"(29, 35)",29,14:36:53,29,35
54,"(86, 53)",86,14:36:53,86,53
55,"(22, 75)",22,14:36:53,22,75
56,"(1, 58)",1,14:36:53,1,58
57,"(20, 49)",20,14:36:53,20,49
58,"(43, 33)",43,14:36:53,43,33
59,"(41, 92)",41,14:36:54,41,92
60,"(70, 16)",70,14:36:54,70,16
61,"(37, 6)",37,14:36:54,37,6
62,"(82, 11)",82,14:36:54,82,11
63,"(36, 46)",36,14:36:54,36,46
64,"(26, 47)",26,14:36:54,26,47
65,"(23, 30)",23,14:36:55,23,30
66,"(76, 7)",76,14:36:55,76,7
67,"(8, 51)",8,14:36:55,8,51
68,"(71, 62)",71,14:36:55,71,62
69,"(67, 24)",67,14:36:55,67,24
70,"(50, 79)",50,14:36:55,50,79
71,"(80, 5)",80,14:36:56,80,5
72,"(10, 27)",10,14:36:56,10,27
73,"(4, 78)",4,14:36:56,4,78
74,"(83, 12)",83,14:36:56,83,12
75,"(38, 60)",38,14:36:56,38,60
76,"(40, 77)",40,14:36:57,40,77
77,"(0, 17)",0,14:36:57,0,17
78,"(9, 54)",9,14:36:57,9,54
79,"(44, 52)",44,14:36:57,44,52
80,"(2, 69)",2,14:36:57,2,69
81,"(84, 3)",84,14:36:58,84,3
82,"(81, 66)",81,14:36:58,81,66
83,"(28, 25)",28,14:36:58,28,25
84,"(85, 64)",85,14:36:58,85,64
85,"(61, 63)",61,14:36:58,61,63
86,"(59, 57)",59,14:36:59,59,57
87,"(56, 39)",56,14:36:59,56,39
88,"(90, 73)",90,14:36:59,90,73
89,"(14, 65)",14,14:36:59,14,65
90,"(42, 19)",42,14:36:59,42,19
91,"(55, 15)",55,14:37:00,55,15
92,"(48, 13)",48,14:37:00,48,13
93,"(88, 18)",88,14:37:00,88,18
94,"(3, 79)",3,14:37:00,3,79
95,"(68, 30)",68,14:37:00,68,30
96,"(84, 12)",84,14:37:01,84,12
97,"(83, 45)",83,14:37:01,83,45
98,"(24, 5)",24,14:37:01,24,5
99,"(35, 11)",35,14:37:01,35,11
100,"(90, 47)",90,14:37:02,90,47
101,"(81, 64)",81,14:37:02,81,64
102,"(53, 91)",53,14:37:02,53,91
103,"(21, 22)",21,14:37:02,21,22
104,"(66, 19)",66,14:37:02,66,19
105,"(55, 78)",55,14:37:02,55,78
106,"(74, 4)",74,14:37:03,74,4
107,"(61, 6)",61,14:37:03,61,6
108,"(59, 43)",59,14:37:03,59,43
109,"(85, 40)",85,14:37:03,85,40
110,"(87, 38)",87,14:37:03,87,38
111,"(42, 76)",42,14:37:03,42,76
112,"(20, 51)",20,14:37:03,20,51
113,"(56, 44)",56,14:37:04,56,44
114,"(50, 18)",50,14:37:04,50,18
115,"(49, 46)",49,14:37:04,49,46
116,"(93, 86)",93,14:37:04,93,86
117,"(63, 58)",63,14:37:04,63,58
118,"(25, 23)",25,14:37:05,25,23
119,"(26, 73)",26,14:37:05,26,73
120,"(15, 8)",15,14:37:05,15,8
121,"(13, 77)",13,14:37:05,13,77
122,"(33, 52)",33,14:37:06,33,52
123,"(7, 69)",7,14:37:06,7,69
124,"(9, 48)",9,14:37:06,9,48
125,"(36, 70)",36,14:37:06,36,70
126,"(16, 88)",16,14:37:06,16,88
127,"(28, 89)",28,14:37:06,28,89
128,"(57, 71)",57,14:37:07,57,71
129,"(54, 10)",54,14:37:07,54,10
130,"(14, 92)",14,14:37:07,14,92
131,"(29, 60)",29,14:37:07,29,60
132,"(67, 41)",67,14:37:07,67,41
133,"(31, 1)",31,14:37:08,31,1
134,"(82, 32)",82,14:37:08,82,32
135,"(37, 34)",37,14:37:08,37,34
136,"(2, 39)",2,14:37:08,2,39
137,"(0, 27)",0,14:37:08,0,27
138,"(62, 65)",62,14:37:09,62,65
139,"(80, 72)",80,14:37:09,80,72
140,"(75, 17)",75,14:37:09,75,17
141,"(38, 28)",38,14:37:09,38,28
142,"(14, 56)",14,14:37:10,14,56
143,"(17, 46)",17,14:37:10,17,46
144,"(74, 9)",74,14:37:10,74,9
145,"(15, 69)",15,14:37:10,15,69
146,"(87, 77)",87,14:37:10,87,77
147,"(83, 4)",83,14:37:11,83,4
148,"(57, 21)",57,14:37:11,57,21
149,"(48, 35)",48,14:37:11,48,35
150,"(88, 33)",88,14:37:11,88,33
151,"(53, 78)",53,14:37:11,53,78
152,"(40, 24)",40,14:37:11,40,24
153,"(85, 71)",85,14:37:12,85,71
154,"(2, 89)",2,14:37:12,2,89
155,"(68, 55)",68,14:37:12,68,55
156,"(7, 43)",7,14:37:12,7,43
157,"(76, 51)",76,14:37:12,76,51
158,"(84, 3)",84,14:37:13,84,3
159,"(18, 67)",18,14:37:13,18,67
160,"(65, 27)",65,14:37:13,65,27
161,"(31, 8)",31,14:37:13,31,8
162,"(64, 12)",64,14:37:13,64,12
163,"(80, 0)",80,14:37:14,80,0
164,"(37, 82)",37,14:37:14,37,82
165,"(47, 19)",47,14:37:14,47,19
166,"(16, 25)",16,14:37:14,16,25
167,"(61, 62)",61,14:37:15,61,62
168,"(70, 45)",70,14:37:15,70,45
169,"(66, 29)",66,14:37:15,66,29
170,"(81, 32)",81,14:37:15,81,32
171,"(72, 42)",72,14:37:15,72,42
172,"(91, 92)",91,14:37:15,91,92
173,"(6, 36)",6,14:37:16,6,36
174,"(30, 75)",30,14:37:16,30,75
175,"(44, 26)",44,14:37:16,44,26
176,"(73, 39)",73,14:37:16,73,39
177,"(13, 1)",13,14:37:16,13,1
178,"(22, 49)",22,14:37:16,22,49
179,"(20, 79)",20,14:37:17,20,79
180,"(58, 41)",58,14:37:17,58,41
181,"(10, 50)",10,14:37:17,10,50
182,"(11, 54)",11,14:37:17,11,54
183,"(23, 86)",23,14:37:17,23,86
184,"(60, 59)",60,14:37:18,60,59
185,"(93, 34)",93,14:37:18,93,34
186,"(5, 52)",5,14:37:18,5,52
187,"(63, 90)",63,14:37:18,63,90
188,"(85, 40)",85,14:37:19,85,40
189,"(49, 23)",49,14:37:19,49,23
190,"(4, 16)",4,14:37:19,4,16
191,"(34, 53)",34,14:37:19,34,53
192,"(69, 81)",69,14:37:19,69,81
193,"(50, 93)",50,14:37:19,50,93
194,"(24, 59)",24,14:37:20,24,59
195,"(92, 46)",92,14:37:20,92,46
196,"(2, 26)",2,14:37:20,2,26
197,"(5, 57)",5,14:37:20,5,57
198,"(75, 61)",75,14:37:20,75,61
199,"(10, 11)",10,14:37:21,10,11
200,"(42, 86)",42,14:37:21,42,86
201,"(39, 14)",39,14:37:21,39,14
202,"(33, 89)",33,14:37:21,33,89
203,"(76, 25)",76,14:37:22,76,25
204,"(82, 68)",82,14:37:22,82,68
205,"(73, 28)",73,14:37:23,73,28
206,"(55, 74)",55,14:37:23,55,74
207,"(80, 9)",80,14:37:23,80,9
208,"(31, 43)",31,14:37:23,31,43
209,"(0, 35)",0,14:37:24,0,35
210,"(60, 1)",60,14:37:24,60,1
211,"(27, 66)",27,14:37:24,27,66
212,"(67, 6)",67,14:37:24,67,6
213,"(63, 22)",63,14:37:24,63,22
214,"(21, 15)",21,14:37:24,21,15
215,"(7, 17)",7,14:37:25,7,17
216,"(20, 65)",20,14:37:25,20,65
217,"(36, 32)",36,14:37:25,36,32
218,"(71, 87)",71,14:37:25,71,87
219,"(88, 64)",88,14:37:26,88,64
220,"(44, 37)",44,14:37:26,44,37
221,"(54, 47)",54,14:37:26,54,47
222,"(12, 58)",12,14:37:27,12,58
