,candidates,winner,time,left,right
0,"(57, 51)",57,12:20:02,57,51
1,"(45, 69)",45,12:20:14,45,69
2,"(29, 93)",93,12:20:24,29,93
3,"(1, 67)",1,12:20:45,1,67
4,"(20, 27)",27,12:20:59,20,27
5,"(42, 8)",8,12:21:17,42,8
6,"(86, 89)",86,12:21:29,86,89
7,"(83, 48)",48,12:22:06,83,48
8,"(63, 3)",3,12:22:28,63,3
9,"(62, 11)",62,12:22:43,62,11
10,"(31, 44)",44,12:23:49,31,44
11,"(37, 90)",90,12:23:55,37,90
12,"(68, 18)",18,12:24:16,68,18
13,"(71, 7)",7,12:24:32,71,7
14,"(91, 49)",49,12:24:40,91,49
15,"(32, 70)",70,12:24:57,32,70
16,"(50, 25)",50,12:25:09,50,25
17,"(34, 28)",28,12:27:05,34,28
18,"(54, 61)",61,12:27:17,54,61
19,"(13, 47)",47,12:27:30,13,47
20,"(78, 9)",78,12:27:40,78,9
21,"(92, 87)",92,12:27:52,92,87
22,"(19, 53)",53,12:28:10,19,53
23,"(33, 77)",77,12:28:24,33,77
24,"(6, 12)",12,12:28:49,6,12
25,"(84, 80)",80,12:29:03,84,80
26,"(38, 36)",38,12:29:31,38,36
27,"(16, 75)",75,12:30:07,16,75
28,"(85, 26)",26,12:30:25,85,26
29,"(82, 22)",82,12:30:58,82,22
30,"(72, 56)",56,12:31:09,72,56
31,"(79, 0)",0,12:31:24,79,0
32,"(15, 73)",15,12:31:38,15,73
33,"(66, 65)",65,12:31:48,66,65
34,"(64, 58)",64,12:32:03,64,58
35,"(52, 21)",21,12:32:26,52,21
36,"(40, 55)",40,12:32:39,40,55
37,"(23, 17)",23,12:32:43,23,17
38,"(24, 46)",46,12:32:56,24,46
39,"(10, 88)",10,12:33:04,10,88
40,"(43, 39)",39,12:33:16,43,39
41,"(74, 81)",74,12:33:32,74,81
42,"(41, 14)",14,12:33:52,41,14
43,"(2, 59)",59,12:34:12,2,59
44,"(35, 4)",4,12:34:26,35,4
45,"(30, 5)",5,12:34:41,30,5
46,"(76, 60)",60,12:34:49,76,60
47,"(32, 93)",32,12:35:28,32,93
48,"(68, 21)",21,12:35:40,68,21
49,"(87, 45)",45,12:35:44,87,45
50,"(89, 31)",31,12:35:52,89,31
51,"(72, 74)",74,12:36:15,72,74
52,"(91, 34)",34,12:36:26,91,34
53,"(29, 35)",35,12:36:35,29,35
54,"(86, 53)",53,12:36:40,86,53
55,"(22, 75)",22,12:36:49,22,75
56,"(1, 58)",1,12:37:02,1,58
57,"(20, 49)",20,12:37:23,20,49
58,"(43, 33)",43,12:37:30,43,33
59,"(41, 92)",92,12:37:47,41,92
60,"(70, 16)",16,12:37:56,70,16
61,"(37, 6)",37,12:38:04,37,6
62,"(82, 11)",82,12:38:14,82,11
63,"(36, 46)",36,12:38:30,36,46
64,"(26, 47)",26,12:38:43,26,47
