,candidates,winner,time,left,right
0,"(57, 51)",57,12:18:56,57,51
1,"(45, 69)",45,12:19:12,45,69
2,"(29, 93)",93,12:19:40,29,93
3,"(1, 67)",1,12:20:01,1,67
4,"(20, 27)",27,12:20:18,20,27
5,"(42, 8)",8,12:20:52,42,8
6,"(86, 89)",86,12:21:07,86,89
7,"(83, 48)",83,12:21:41,83,48
8,"(63, 3)",63,12:22:27,63,3
9,"(62, 11)",11,12:22:45,62,11
10,"(31, 44)",31,12:23:48,31,44
11,"(37, 90)",90,12:24:04,37,90
12,"(68, 18)",18,12:25:08,68,18
13,"(71, 7)",7,12:26:39,71,7
14,"(91, 49)",91,12:27:03,91,49
15,"(32, 70)",32,12:27:17,32,70
16,"(50, 25)",50,12:27:24,50,25
17,"(34, 28)",28,12:27:38,34,28
18,"(54, 61)",54,12:27:59,54,61
19,"(13, 47)",47,12:28:13,13,47
20,"(78, 9)",78,12:28:21,78,9
21,"(92, 87)",92,12:28:29,92,87
22,"(19, 53)",53,12:29:06,19,53
23,"(33, 77)",77,12:29:23,33,77
24,"(6, 12)",12,12:30:05,6,12
25,"(84, 80)",84,12:30:39,84,80
26,"(38, 36)",36,12:31:11,38,36
27,"(16, 75)",16,12:31:35,16,75
28,"(85, 26)",26,12:32:06,85,26
29,"(82, 22)",82,12:32:31,82,22
30,"(72, 56)",56,12:32:51,72,56
31,"(79, 0)",0,12:33:02,79,0
32,"(15, 73)",15,12:33:13,15,73
33,"(66, 65)",65,12:33:27,66,65
34,"(64, 58)",64,12:33:57,64,58
35,"(52, 21)",21,12:34:08,52,21
36,"(40, 55)",55,12:34:26,40,55
37,"(23, 17)",23,12:34:30,23,17
38,"(24, 46)",46,12:34:52,24,46
39,"(10, 88)",10,12:35:00,10,88
40,"(43, 39)",39,12:35:17,43,39
41,"(74, 81)",74,12:35:33,74,81
42,"(41, 14)",14,12:35:48,41,14
43,"(2, 59)",59,12:35:57,2,59
44,"(35, 4)",4,12:36:15,35,4
45,"(30, 5)",5,12:36:30,30,5
46,"(76, 60)",60,12:36:43,76,60
47,"(32, 93)",93,12:37:01,32,93
48,"(68, 21)",21,12:37:08,68,21
49,"(87, 45)",87,12:37:21,87,45
50,"(89, 31)",31,12:37:29,89,31
51,"(72, 74)",74,12:37:35,72,74
52,"(91, 34)",91,12:37:45,91,34
53,"(29, 35)",35,12:38:18,29,35
54,"(86, 53)",53,12:38:30,86,53
55,"(22, 75)",75,12:38:47,22,75
56,"(1, 58)",1,12:38:58,1,58
57,"(20, 49)",49,12:39:12,20,49
58,"(43, 33)",43,12:39:19,43,33
59,"(41, 92)",92,12:39:26,41,92
60,"(70, 16)",16,12:39:30,70,16
61,"(37, 6)",37,12:39:36,37,6
62,"(82, 11)",82,12:40:10,82,11
63,"(36, 46)",36,12:40:16,36,46
64,"(26, 47)",26,12:40:47,26,47
65,"(23, 30)",23,12:40:53,23,30
66,"(76, 7)",7,12:41:06,76,7
67,"(8, 51)",8,12:41:13,8,51
68,"(71, 62)",71,12:41:22,71,62
69,"(67, 24)",67,12:41:29,67,24
70,"(50, 79)",50,12:41:49,50,79
71,"(80, 5)",5,12:41:55,80,5
72,"(10, 27)",10,12:42:07,10,27
73,"(4, 78)",4,12:42:19,4,78
74,"(83, 12)",12,12:42:54,83,12
75,"(38, 60)",38,12:43:23,38,60
76,"(40, 77)",77,12:43:55,40,77
77,"(0, 17)",0,12:44:02,0,17
78,"(9, 54)",54,12:44:06,9,54
79,"(44, 52)",44,12:44:23,44,52
80,"(2, 69)",69,12:44:29,2,69
81,"(84, 3)",3,12:44:33,84,3
82,"(81, 66)",81,12:44:36,81,66
83,"(28, 25)",28,12:44:55,28,25
84,"(85, 64)",64,12:45:03,85,64
85,"(61, 63)",63,12:45:11,61,63
86,"(59, 57)",57,12:45:22,59,57
87,"(56, 39)",39,12:45:43,56,39
88,"(90, 73)",90,12:45:47,90,73
89,"(14, 65)",14,12:45:55,14,65
90,"(42, 19)",19,12:46:08,42,19
91,"(55, 15)",55,12:46:19,55,15
92,"(48, 13)",48,12:46:39,48,13
93,"(88, 18)",18,12:46:47,88,18
94,"(3, 79)",79,12:47:00,3,79
95,"(68, 30)",68,12:47:12,68,30
96,"(84, 12)",12,12:47:18,84,12
97,"(83, 45)",83,12:47:45,83,45
98,"(24, 5)",5,12:47:54,24,5
