,candidates,winner,time,left,right
0,"(57, 51)",57,15:21:28,57,51
1,"(45, 69)",45,15:21:40,45,69
2,"(29, 93)",93,15:21:41,29,93
3,"(1, 67)",1,15:21:50,1,67
4,"(20, 27)",27,15:22:09,20,27
5,"(42, 8)",8,15:22:11,42,8
6,"(86, 89)",89,15:22:16,86,89
7,"(83, 48)",83,15:22:23,83,48
8,"(63, 3)",63,15:22:26,63,3
9,"(62, 11)",62,15:22:31,62,11
10,"(31, 44)",44,15:22:33,31,44
11,"(37, 90)",90,15:22:35,37,90
12,"(68, 18)",18,15:22:59,68,18
13,"(71, 7)",71,15:23:00,71,7
14,"(91, 49)",91,15:23:06,91,49
15,"(32, 70)",32,15:23:07,32,70
16,"(50, 25)",50,15:23:08,50,25
17,"(34, 28)",34,15:23:16,34,28
18,"(54, 61)",61,15:23:17,54,61
19,"(13, 47)",13,15:23:18,13,47
20,"(78, 9)",9,15:23:20,78,9
21,"(92, 87)",92,15:23:21,92,87
22,"(19, 53)",53,15:23:23,19,53
23,"(33, 77)",77,15:23:24,33,77
24,"(6, 12)",12,15:23:26,6,12
25,"(84, 80)",80,15:23:27,84,80
26,"(38, 36)",38,15:23:28,38,36
27,"(16, 75)",75,15:23:30,16,75
28,"(85, 26)",26,15:23:32,85,26
29,"(82, 22)",22,15:23:33,82,22
30,"(72, 56)",56,15:23:35,72,56
31,"(79, 0)",79,15:23:37,79,0
32,"(15, 73)",15,15:23:38,15,73
33,"(66, 65)",65,15:23:45,66,65
34,"(64, 58)",58,15:23:47,64,58
35,"(52, 21)",21,15:23:48,52,21
36,"(40, 55)",40,15:23:51,40,55
37,"(23, 17)",17,15:23:55,23,17
38,"(24, 46)",46,15:23:57,24,46
39,"(10, 88)",10,15:24:00,10,88
40,"(43, 39)",39,15:24:05,43,39
41,"(74, 81)",81,15:24:09,74,81
42,"(41, 14)",14,15:24:11,41,14
43,"(2, 59)",2,15:24:13,2,59
44,"(35, 4)",4,15:24:27,35,4
45,"(30, 5)",5,15:24:29,30,5
46,"(76, 60)",60,10:45:56,76,60
47,"(32, 93)",93,10:46:06,32,93
48,"(68, 21)",21,10:46:10,68,21
49,"(87, 45)",45,10:46:14,87,45
50,"(89, 31)",31,10:46:21,89,31
51,"(72, 74)",74,10:46:28,72,74
52,"(91, 34)",34,10:46:34,91,34
53,"(29, 35)",29,10:46:40,29,35
54,"(86, 53)",53,10:46:43,86,53
55,"(22, 75)",22,10:46:45,22,75
56,"(1, 58)",58,10:46:47,1,58
57,"(20, 49)",20,10:46:49,20,49
58,"(43, 33)",43,10:46:52,43,33
59,"(41, 92)",41,10:46:55,41,92
60,"(70, 16)",70,10:47:03,70,16
61,"(37, 6)",37,10:49:25,37,6
62,"(82, 11)",82,10:49:27,82,11
63,"(36, 46)",36,10:49:34,36,46
