,candidates,winner,time,left,right
0,"(57, 51)",51,12:24:47,57,51
1,"(45, 69)",45,12:25:10,45,69
2,"(29, 93)",93,12:26:10,29,93
3,"(1, 67)",1,12:26:56,1,67
4,"(20, 27)",27,12:28:01,20,27
5,"(42, 8)",42,12:28:42,42,8
6,"(86, 89)",86,12:29:21,86,89
7,"(83, 48)",83,12:30:26,83,48
8,"(63, 3)",63,12:31:16,63,3
9,"(62, 11)",11,12:31:44,62,11
10,"(31, 44)",44,12:32:31,31,44
11,"(37, 90)",90,12:32:52,37,90
12,"(68, 18)",18,12:33:20,68,18
13,"(71, 7)",71,12:34:01,71,7
14,"(91, 49)",91,12:34:18,91,49
15,"(32, 70)",32,12:34:36,32,70
16,"(50, 25)",25,12:34:54,50,25
17,"(34, 28)",34,12:35:16,34,28
18,"(54, 61)",61,12:35:41,54,61
19,"(13, 47)",47,12:36:16,13,47
20,"(78, 9)",78,12:36:31,78,9
21,"(92, 87)",92,12:36:43,92,87
22,"(19, 53)",53,12:37:06,19,53
23,"(33, 77)",77,12:37:17,33,77
24,"(6, 12)",12,12:37:41,6,12
25,"(84, 80)",80,12:38:30,84,80
26,"(38, 36)",36,12:38:44,38,36
27,"(16, 75)",75,12:38:59,16,75
28,"(85, 26)",85,12:39:22,85,26
29,"(82, 22)",82,12:39:51,82,22
30,"(72, 56)",56,12:40:07,72,56
31,"(79, 0)",79,12:40:26,79,0
32,"(15, 73)",15,12:40:49,15,73
33,"(66, 65)",65,12:41:03,66,65
34,"(64, 58)",64,12:41:28,64,58
35,"(52, 21)",21,12:41:41,52,21
36,"(40, 55)",55,12:42:17,40,55
37,"(23, 17)",23,12:42:21,23,17
38,"(24, 46)",46,12:43:10,24,46
39,"(10, 88)",10,12:43:24,10,88
40,"(43, 39)",39,12:43:57,43,39
41,"(74, 81)",81,12:44:22,74,81
42,"(41, 14)",41,12:44:53,41,14
43,"(2, 59)",59,12:45:05,2,59
44,"(35, 4)",4,12:45:22,35,4
45,"(30, 5)",5,12:45:40,30,5
46,"(76, 60)",76,12:46:03,76,60
47,"(32, 93)",93,12:46:23,32,93
48,"(68, 21)",21,12:46:38,68,21
49,"(87, 45)",45,12:46:46,87,45
50,"(89, 31)",31,12:47:29,89,31
51,"(72, 74)",74,12:47:35,72,74
52,"(91, 34)",34,12:47:43,91,34
53,"(29, 35)",29,12:47:56,29,35
54,"(86, 53)",53,12:48:07,86,53
55,"(22, 75)",22,12:48:21,22,75
56,"(1, 58)",58,12:48:39,1,58
57,"(20, 49)",20,12:48:56,20,49
58,"(43, 33)",43,12:49:08,43,33
59,"(41, 92)",92,12:49:34,41,92
60,"(70, 16)",16,12:49:39,70,16
61,"(37, 6)",37,12:49:56,37,6
62,"(82, 11)",82,12:50:24,82,11
63,"(36, 46)",36,12:50:55,36,46
64,"(26, 47)",47,12:51:12,26,47
65,"(23, 30)",30,12:51:18,23,30
66,"(76, 7)",7,12:51:26,76,7
67,"(8, 51)",8,12:51:41,8,51
68,"(71, 62)",71,12:52:33,71,62
69,"(67, 24)",24,12:52:58,67,24
70,"(50, 79)",79,12:53:32,50,79
71,"(80, 5)",5,12:53:45,80,5
72,"(10, 27)",10,12:54:24,10,27
73,"(4, 78)",4,12:54:44,4,78
74,"(83, 12)",83,12:55:25,83,12
75,"(38, 60)",38,12:55:48,38,60
76,"(40, 77)",77,12:55:57,40,77
77,"(0, 17)",0,12:56:01,0,17
78,"(9, 54)",9,12:56:58,9,54
79,"(44, 52)",44,12:57:25,44,52
80,"(2, 69)",69,12:57:56,2,69
81,"(84, 3)",3,12:58:06,84,3
82,"(81, 66)",81,12:58:16,81,66
83,"(28, 25)",28,12:58:57,28,25
84,"(85, 64)",64,12:59:28,85,64
85,"(61, 63)",63,12:59:37,61,63
86,"(59, 57)",59,13:00:32,59,57
87,"(56, 39)",39,13:01:05,56,39
